Date,Particulars,Buyer/Supplier,Buyer/Supplier Address,Consignee/Party,Consignee/Party Address,Voucher Type,Voucher No.,Voucher Ref. No.,Voucher Ref. Date,GSTIN/UIN,PAN No.,Narration,Value,Gross Total,26-27 MEMBERSHIP FEES,Central Goods and Service Tax,State Goods and Service Tax,Integrated Goods and Service Tax,27-28 MEMBERSHIP FEE,28-29 MEMBERSHIP FEE,ONE TIME ENTRANCE FEES
26-Jul-26,SAS POWERTECH PVT LTD,SAS POWERTECH PVT LTD,Pune-411053,SAS POWERTECH PVT LTD,Pune-411042,Sales,5449,MBK3000049,26-Jul-26,27ZMANP2644Z8,CXADW3529,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000049 MEMBERSHIP -IA-2674,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
14-Jul-26,Trimiti Industrial Solutions,Trimiti Industrial Solutions,Pune-411012,Trimiti Industrial Solutions,Pune-411047,Sales,5433,MBK3000033,14-Jul-26,27NQQXU8616Z7,VPIGY5569,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000033 MEMBERSHIP -IA-10654,14160.0,12000,12000,1080.0,1080.0,0,0,0,0
04-Jul-26,ACR PROJECT CONSULTANTS PVT. LTD.,ACR PROJECT CONSULTANTS PVT. LTD.,Pune-411037,ACR PROJECT CONSULTANTS PVT. LTD.,Pune-411033,Sales,5467,MBK3000067,04-Jul-26,27FRFCV7022Z2,TOUVZ1430,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000067 MEMBERSHIP -IA-5803,35400.0,30000,30000,2700.0,2700.0,0,0,0,0
03-Jul-26,Jiangyin Uni-Pol Vacuum Casting India Pvt LTD,Jiangyin Uni-Pol Vacuum Casting India Pvt LTD,Pune-411016,Jiangyin Uni-Pol Vacuum Casting India Pvt LTD,Pune-411047,Sales,5435,MBK3000035,03-Jul-26,27KOGMS8342Z1,CFRHP8753,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000035 MEMBERSHIP -IA-14261,17700.0,15000,15000,1350.0,1350.0,0,0,0,0
06-Jul-26,Svireva,Svireva,Pune-411018,Svireva,Pune-411045,Sales,5468,MBK3000068,06-Jul-26,27TXJED7566Z2,DQATF7878,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000068 MEMBERSHIP -IA-14588,5900.0,5000,5000,450.0,450.0,0,0,0,0
02-Jul-26,SAVEECO ENERGY INDIA PRIVATE LIMITED,SAVEECO ENERGY INDIA PRIVATE LIMITED,Pune-411013,SAVEECO ENERGY INDIA PRIVATE LIMITED,Pune-411034,Sales,5445,MBK3000045,02-Jul-26,27JTQTF9998Z3,YLSDZ4920,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000045 MEMBERSHIP -IA-3547,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
08-Jul-26,ACR PROJECT CONSULTANTS PVT. LTD.,ACR PROJECT CONSULTANTS PVT. LTD.,Pune-411022,ACR PROJECT CONSULTANTS PVT. LTD.,Pune-411050,Sales,5473,MBK3000073,08-Jul-26,27ENCNX6724Z6,SVVGD4232,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000073 MEMBERSHIP -IA-10459,35400.0,30000,30000,2700.0,2700.0,0,0,0,0
21-Jul-26,Caxyzen Labs Private Limited,Caxyzen Labs Private Limited,Pune-411039,Caxyzen Labs Private Limited,Pune-411002,Sales,5461,MBK3000061,21-Jul-26,27BIZUF4394Z4,VGUUP5542,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000061 MEMBERSHIP -IA-8527,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
09-Jul-26,Hetal Amey Pawar,Hetal Amey Pawar,Pune-411044,Hetal Amey Pawar,Pune-411049,Sales,5455,MBK3000055,09-Jul-26,27SRVQX1645Z5,UAJDX6352,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000055 MEMBERSHIP -IA-6635,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
07-Jul-26,LVL ALPHA PRIVATE LIMITED,LVL ALPHA PRIVATE LIMITED,Pune-411017,LVL ALPHA PRIVATE LIMITED,Pune-411043,Sales,5440,MBK3000040,07-Jul-26,27CGOEK8699Z5,AHHWB4824,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000040 MEMBERSHIP -IA-3615,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
07-Jul-26,SUMA SOFT PRIVATE LIMITED,SUMA SOFT PRIVATE LIMITED,Pune-411013,SUMA SOFT PRIVATE LIMITED,Pune-411035,Sales,5409,MBK3000009,07-Jul-26,27LKHGY8260Z9,CQOAC4872,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000009 MEMBERSHIP -IA-2679,17700.0,15000,15000,1350.0,1350.0,0,0,0,0
03-Jul-26,Bellator Engineers India Private Limited,Bellator Engineers India Private Limited,Pune-411006,Bellator Engineers India Private Limited,Pune-411021,Sales,5464,MBK3000064,03-Jul-26,27PBHQO6327Z7,ZNLPC2874,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000064 MEMBERSHIP -IA-7201,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
11-Jul-26,Hoonar Tekwurks Private Limited,Hoonar Tekwurks Private Limited,Pune-411032,Hoonar Tekwurks Private Limited,Pune-411002,Sales,5405,MBK3000005,11-Jul-26,27CJZUG4946Z2,CMBTT3103,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000005 MEMBERSHIP -IA-5012,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
18-Jul-26,PRECIHOLE MACHINE TOOLS PVT LTD,PRECIHOLE MACHINE TOOLS PVT LTD,Pune-411010,PRECIHOLE MACHINE TOOLS PVT LTD,Pune-411025,Sales,5447,MBK3000047,18-Jul-26,27EPTDB7798Z6,YNVHH9022,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000047 MEMBERSHIP -IA-13509,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
25-Jul-26,Stratgem Projects and Engineering Pvt. Ltd.,Stratgem Projects and Engineering Pvt. Ltd.,Pune-411030,Stratgem Projects and Engineering Pvt. Ltd.,Pune-411037,Sales,5434,MBK3000034,25-Jul-26,27PJAWE4475Z6,UIWSH1166,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000034 MEMBERSHIP -IA-5557,17700.0,15000,15000,1350.0,1350.0,0,0,0,0
18-Jul-26,AMOL R MANTRI AND ASSOCIATES,AMOL R MANTRI AND ASSOCIATES,Pune-411017,AMOL R MANTRI AND ASSOCIATES,Pune-411052,Sales,5462,MBK3000062,18-Jul-26,27ERAAU4898Z6,AGDKC2041,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000062 MEMBERSHIP -IA-9785,14160.0,12000,12000,1080.0,1080.0,0,0,0,0
23-Jul-26,FINEARC SYSTEMS PRIVATE LIMITED,FINEARC SYSTEMS PRIVATE LIMITED,Pune-411020,FINEARC SYSTEMS PRIVATE LIMITED,Pune-411045,Sales,5442,MBK3000042,23-Jul-26,27KHOLP8078Z6,PAFRW1339,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000042 MEMBERSHIP -IA-7924,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
23-Jul-26,SHREE BIOTECH,SHREE BIOTECH,Pune-411019,SHREE BIOTECH,Pune-411002,Sales,5454,MBK3000054,23-Jul-26,27ZRHOR1803Z8,VXUFU4588,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000054 MEMBERSHIP -IA-14885,29500.0,25000,25000,2250.0,2250.0,0,0,0,0
04-Jul-26,DOMETECH ART PRIVATE LIMITED,DOMETECH ART PRIVATE LIMITED,Pune-411005,DOMETECH ART PRIVATE LIMITED,Pune-411057,Sales,5416,MBK3000016,04-Jul-26,27RDAJO8041Z3,BJYZB6862,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000016 MEMBERSHIP -IA-1520,5900.0,5000,5000,450.0,450.0,0,0,0,0
04-Jul-26,Deepa Narayan Sawant,Deepa Narayan Sawant,Pune-411036,Deepa Narayan Sawant,Pune-411049,Sales,5439,MBK3000039,04-Jul-26,27KPQUJ8253Z5,WZHQP2625,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000039 MEMBERSHIP -IA-14202,17700.0,15000,15000,1350.0,1350.0,0,0,0,0
07-Jul-26,YASH INDUSTRIES - SHAMLI VINAY NAIK,YASH INDUSTRIES - SHAMLI VINAY NAIK,Pune-411009,YASH INDUSTRIES - SHAMLI VINAY NAIK,Pune-411051,Sales,5456,MBK3000056,07-Jul-26,27OZNXV5210Z8,ZHWUM2233,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000056 MEMBERSHIP -IA-10891,14160.0,12000,12000,1080.0,1080.0,0,0,0,0
22-Jul-26,Duncan and Ross Technology Engineering India Pvt Ltd,Duncan and Ross Technology Engineering India Pvt Ltd,Pune-411028,Duncan and Ross Technology Engineering India Pvt Ltd,Pune-411033,Sales,5479,MBK3000079,22-Jul-26,27JJEFY8967Z4,FDCVC9843,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000079 MEMBERSHIP -IA-4733,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
11-Jul-26,SHIVRAI TECHNOLOGIES PRIVATE LIMITED,SHIVRAI TECHNOLOGIES PRIVATE LIMITED,Pune-411002,SHIVRAI TECHNOLOGIES PRIVATE LIMITED,Pune-411038,Sales,5407,MBK3000007,11-Jul-26,27OPASB2104Z1,WBGRF3167,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000007 MEMBERSHIP -IA-3286,11800.0,10000,10000,900.0,900.0,0,0,0,0
26-Jul-26,Anurag Advait Halbe,Anurag Advait Halbe,Pune-411017,Anurag Advait Halbe,Pune-411022,Sales,5450,MBK3000050,26-Jul-26,27QKCIR9742Z7,YQXMO2121,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000050 MEMBERSHIP -IA-2519,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
22-Jul-26,SAVEECO ENERGY INDIA PRIVATE LIMITED,SAVEECO ENERGY INDIA PRIVATE LIMITED,Pune-411035,SAVEECO ENERGY INDIA PRIVATE LIMITED,Pune-411011,Sales,5453,MBK3000053,22-Jul-26,27BYZHZ5097Z8,VFKMG6881,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000053 MEMBERSHIP -IA-6881,29500.0,25000,25000,2250.0,2250.0,0,0,0,0
07-Jul-26,RigBetel Labs,RigBetel Labs,Pune-411026,RigBetel Labs,Pune-411022,Sales,5419,MBK3000019,07-Jul-26,27HBUJN9785Z6,YCZEZ5349,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000019 MEMBERSHIP -IA-4582,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
04-Jul-26,Duncan and Ross Technology Engineering India Pvt Ltd,Duncan and Ross Technology Engineering India Pvt Ltd,Pune-411048,Duncan and Ross Technology Engineering India Pvt Ltd,Pune-411048,Sales,5466,MBK3000066,04-Jul-26,27JDBYO3002Z7,JRTWS5712,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000066 MEMBERSHIP -IA-10044,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
26-Jul-26,Trimiti Industrial Solutions,Trimiti Industrial Solutions,Pune-411030,Trimiti Industrial Solutions,Pune-411043,Sales,5425,MBK3000025,26-Jul-26,27NOITL9270Z7,VOXTM5246,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000025 MEMBERSHIP -IA-4257,14160.0,12000,12000,1080.0,1080.0,0,0,0,0
23-Jul-26,Kadant India Private Limited,Kadant India Private Limited,Pune-411032,Kadant India Private Limited,Pune-411019,Sales,5444,MBK3000044,23-Jul-26,27RKTAC5135Z6,DUWVA9889,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000044 MEMBERSHIP -IA-5552,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
30-Jul-26,Trimiti Industrial Solutions,Trimiti Industrial Solutions,Pune-411049,Trimiti Industrial Solutions,Pune-411005,Sales,5413,MBK3000013,30-Jul-26,27AQOCN9288Z5,DJBGH8179,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000013 MEMBERSHIP -IA-2424,35400.0,30000,30000,2700.0,2700.0,0,0,0,0
16-Jul-26,ASHORE SYSTEMS PRIVATE LIMITED,ASHORE SYSTEMS PRIVATE LIMITED,Pune-411033,ASHORE SYSTEMS PRIVATE LIMITED,Pune-411010,Sales,5476,MBK3000076,16-Jul-26,27YLVVZ2381Z9,QBSZN3600,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000076 MEMBERSHIP -IA-2139,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
06-Jul-26,V-Smart Thermotech Pvt. Ltd.,V-Smart Thermotech Pvt. Ltd.,Pune-411051,V-Smart Thermotech Pvt. Ltd.,Pune-411044,Sales,5403,MBK3000003,06-Jul-26,27KBJZN1188Z2,RNGQC8123,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000003 MEMBERSHIP -IA-13149,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
08-Jul-26,LVL ALPHA PRIVATE LIMITED,LVL ALPHA PRIVATE LIMITED,Pune-411043,LVL ALPHA PRIVATE LIMITED,Pune-411007,Sales,5417,MBK3000017,08-Jul-26,27JOWZT4878Z3,ZVWAT6442,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000017 MEMBERSHIP -IA-1488,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
19-Jul-26,SUMA SOFT PRIVATE LIMITED,SUMA SOFT PRIVATE LIMITED,Pune-411019,SUMA SOFT PRIVATE LIMITED,Pune-411031,Sales,5438,MBK3000038,19-Jul-26,27MIZGW2869Z2,KBQBD5978,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000038 MEMBERSHIP -IA-13432,5900.0,5000,5000,450.0,450.0,0,0,0,0
16-Jul-26,SHREE BIOTECH,SHREE BIOTECH,Pune-411016,SHREE BIOTECH,Pune-411051,Sales,5408,MBK3000008,16-Jul-26,27MKCRJ7735Z8,WBQQB6559,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000008 MEMBERSHIP -IA-13066,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
14-Jul-26,ROOTWARE TECHNOLOGIES,ROOTWARE TECHNOLOGIES,Pune-411029,ROOTWARE TECHNOLOGIES,Pune-411057,Sales,5465,MBK3000065,14-Jul-26,27FILKC7992Z6,RJDXB2398,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000065 MEMBERSHIP -IA-2291,17700.0,15000,15000,1350.0,1350.0,0,0,0,0
06-Jul-26,VECTOR INFORMATIK INDIA PRIVATE LIMITED,VECTOR INFORMATIK INDIA PRIVATE LIMITED,Pune-411017,VECTOR INFORMATIK INDIA PRIVATE LIMITED,Pune-411034,Sales,5406,MBK3000006,06-Jul-26,27WLFOS4295Z5,KRJXL5061,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000006 MEMBERSHIP -IA-4657,59000.0,50000,50000,4500.0,4500.0,0,0,0,0
12-Jul-26,ROOTWARE TECHNOLOGIES,ROOTWARE TECHNOLOGIES,Pune-411028,ROOTWARE TECHNOLOGIES,Pune-411048,Sales,5436,MBK3000036,12-Jul-26,27OJLHF4155Z6,DNTEF8933,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000036 MEMBERSHIP -IA-15242,59000.0,50000,50000,4500.0,4500.0,0,0,0,0
19-Jul-26,SHREE BIOTECH,SHREE BIOTECH,Pune-411026,SHREE BIOTECH,Pune-411046,Sales,5472,MBK3000072,19-Jul-26,27QHKZE8538Z6,CVGPN7484,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000072 MEMBERSHIP -IA-6925,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
22-Jul-26,KIRLOSKAR EBARA PUMPS LIMITED,KIRLOSKAR EBARA PUMPS LIMITED,Pune-411015,KIRLOSKAR EBARA PUMPS LIMITED,Pune-411031,Sales,5458,MBK3000058,22-Jul-26,27AWOXF2035Z8,XHKDY5986,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000058 MEMBERSHIP -IA-14223,11800.0,10000,10000,900.0,900.0,0,0,0,0
18-Jul-26,Magna Automotive India Private Limited,Magna Automotive India Private Limited,Pune-411001,Magna Automotive India Private Limited,Pune-411036,Sales,5446,MBK3000046,18-Jul-26,27KFVCY3522Z8,YHSKM8736,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000046 MEMBERSHIP -IA-4527,29500.0,25000,25000,2250.0,2250.0,0,0,0,0
19-Jul-26,Kadant India Private Limited,Kadant India Private Limited,Pune-411043,Kadant India Private Limited,Pune-411010,Sales,5478,MBK3000078,19-Jul-26,27XIRRD2388Z5,OQIDS9624,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000078 MEMBERSHIP -IA-11834,11800.0,10000,10000,900.0,900.0,0,0,0,0
21-Jul-26,LVL ALPHA PRIVATE LIMITED,LVL ALPHA PRIVATE LIMITED,Pune-411055,LVL ALPHA PRIVATE LIMITED,Pune-411017,Sales,5415,MBK3000015,21-Jul-26,27NGXBQ5533Z1,AUQGT8007,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000015 MEMBERSHIP -IA-7912,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
14-Jul-26,Mr. Milind Jape,Mr. Milind Jape,Pune-411022,Mr. Milind Jape,Pune-411035,Sales,5427,MBK3000027,14-Jul-26,27MBVKU1320Z7,MYHKX7865,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000027 MEMBERSHIP -IA-11647,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
19-Jul-26,Shri Shinde Avinash J.,Shri Shinde Avinash J.,Pune-411043,Shri Shinde Avinash J.,Pune-411052,Sales,5441,MBK3000041,19-Jul-26,27YLOQX3330Z2,BUPVX8195,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000041 MEMBERSHIP -IA-12438,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
09-Jul-26,PRECIHOLE MACHINE TOOLS PVT LTD,PRECIHOLE MACHINE TOOLS PVT LTD,Pune-411050,PRECIHOLE MACHINE TOOLS PVT LTD,Pune-411050,Sales,5426,MBK3000026,09-Jul-26,27NQHCH5451Z6,IODGS4505,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000026 MEMBERSHIP -IA-12731,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
18-Jul-26,V-Smart Thermotech Pvt. Ltd.,V-Smart Thermotech Pvt. Ltd.,Pune-411031,V-Smart Thermotech Pvt. Ltd.,Pune-411023,Sales,5448,MBK3000048,18-Jul-26,27ITJYW4912Z7,GUBTS7246,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000048 MEMBERSHIP -IA-6514,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
23-Jul-26,SHREE BIOTECH,SHREE BIOTECH,Pune-411045,SHREE BIOTECH,Pune-411025,Sales,5424,MBK3000024,23-Jul-26,27MGRAT2746Z7,FUSMO2988,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000024 MEMBERSHIP -IA-10195,17700.0,15000,15000,1350.0,1350.0,0,0,0,0
02-Jul-26,Svireva,Svireva,Pune-411049,Svireva,Pune-411049,Sales,5443,MBK3000043,02-Jul-26,27ENLHZ8141Z8,ZMKIC3634,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000043 MEMBERSHIP -IA-6574,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
30-Jul-26,BUSINARY CONSULTANCY SERVICES LLP,BUSINARY CONSULTANCY SERVICES LLP,Pune-411019,BUSINARY CONSULTANCY SERVICES LLP,Pune-411025,Sales,5477,MBK3000077,30-Jul-26,27KIPUQ2079Z6,CRHSR3463,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000077 MEMBERSHIP -IA-1750,35400.0,30000,30000,2700.0,2700.0,0,0,0,0
28-Jul-26,AMOL R MANTRI AND ASSOCIATES,AMOL R MANTRI AND ASSOCIATES,Pune-411044,AMOL R MANTRI AND ASSOCIATES,Pune-411047,Sales,5457,MBK3000057,28-Jul-26,27RKVOC7464Z1,GDJTG7242,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000057 MEMBERSHIP -IA-5333,17700.0,15000,15000,1350.0,1350.0,0,0,0,0
07-Jul-26,Hetal Amey Pawar,Hetal Amey Pawar,Pune-411004,Hetal Amey Pawar,Pune-411038,Sales,5411,MBK3000011,07-Jul-26,27TBIBM9701Z3,BNWBB4853,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000011 MEMBERSHIP -IA-13135,29500.0,25000,25000,2250.0,2250.0,0,0,0,0
